Index 138->Feature of type 0 starts(3, 6) ends(26, 10) is 0
Index 139->Feature of type 1 starts(3, 6) ends(26, 10) is 0
Index 13a->Feature of type 2 starts(3, 6) ends(26, 10) is 0
Index 13b->Feature of type 3 starts(3, 6) ends(26, 10) is 0
Index 13c->Feature of type 0 starts(3, 6) ends(26, 11) is 0
Index 13d->Feature of type 1 starts(3, 6) ends(26, 11) is 0
Index 13e->Feature of type 2 starts(3, 6) ends(26, 11) is 0
Index 13f->Feature of type 3 starts(3, 6) ends(26, 11) is 0
Index 140->Feature of type 0 starts(3, 6) ends(27, 10) is 0
Index 141->Feature of type 1 starts(3, 6) ends(27, 10) is 0
Index 142->Feature of type 2 starts(3, 6) ends(27, 10) is 0
Index 143->Feature of type 3 starts(3, 6) ends(27, 10) is 0
Index 144->Feature of type 0 starts(3, 6) ends(27, 11) is 0
Index 145->Feature of type 1 starts(3, 6) ends(27, 11) is 0
Index 146->Feature of type 2 starts(3, 6) ends(27, 11) is 0
Index 147->Feature of type 3 starts(3, 6) ends(27, 11) is 0
Index 148->Feature of type 0 starts(3, 6) ends(28, 10) is 0
Index 149->Feature of type 1 starts(3, 6) ends(28, 10) is 0
Index 14a->Feature of type 2 starts(3, 6) ends(28, 10) is 0
Index 14b->Feature of type 3 starts(3, 6) ends(28, 10) is 0
Index 14c->Feature of type 0 starts(3, 6) ends(28, 11) is 0
Index 14d->Feature of type 1 starts(3, 6) ends(28, 11) is 0
Index 14e->Feature of type 2 starts(3, 6) ends(28, 11) is 0
Index 14f->Feature of type 3 starts(3, 6) ends(28, 11) is 0
Index 150->Feature of type 0 starts(4, 6) ends(23, 10) is 0
Index 151->Feature of type 1 starts(4, 6) ends(23, 10) is 0
Index 152->Feature of type 2 starts(4, 6) ends(23, 10) is 0
Index 153->Feature of type 3 starts(4, 6) ends(23, 10) is 0
Index 154->Feature of type 0 starts(4, 6) ends(23, 11) is 0
Index 155->Feature of type 1 starts(4, 6) ends(23, 11) is 0
Index 156->Feature of type 2 starts(4, 6) ends(23, 11) is 0
Index 157->Feature of type 3 starts(4, 6) ends(23, 11) is 0
Index 158->Feature of type 0 starts(4, 6) ends(24, 10) is 0
Index 159->Feature of type 1 starts(4, 6) ends(24, 10) is 0
Index 15a->Feature of type 2 starts(4, 6) ends(24, 10) is 0
Index 15b->Feature of type 3 starts(4, 6) ends(24, 10) is 0
Index 15c->Feature of type 0 starts(4, 6) ends(24, 11) is 0
Index 15d->Feature of type 1 starts(4, 6) ends(24, 11) is 0
Index 15e->Feature of type 2 starts(4, 6) ends(24, 11) is 0
Index 15f->Feature of type 3 starts(4, 6) ends(24, 11) is 0
Index 160->Feature of type 0 starts(4, 6) ends(25, 10) is 0
Index 161->Feature of type 1 starts(4, 6) ends(25, 10) is 0
Index 162->Feature of type 2 starts(4, 6) ends(25, 10) is 0
Index 163->Feature of type 3 starts(4, 6) ends(25, 10) is 0
Index 164->Feature of type 0 starts(4, 6) ends(25, 11) is 0
Index 165->Feature of type 1 starts(4, 6) ends(25, 11) is 0
Index 166->Feature of type 2 starts(4, 6) ends(25, 11) is 0
Index 167->Feature of type 3 starts(4, 6) ends(25, 11) is 0
Index 168->Feature of type 0 starts(4, 6) ends(26, 10) is 0
Index 169->Feature of type 1 starts(4, 6) ends(26, 10) is 0
Index 16a->Feature of type 2 starts(4, 6) ends(26, 10) is 0
Index 16b->Feature of type 3 starts(4, 6) ends(26, 10) is 0
Index 16c->Feature of type 0 starts(4, 6) ends(26, 11) is 0
Index 16d->Feature of type 1 starts(4, 6) ends(26, 11) is 0
Index 16e->Feature of type 2 starts(4, 6) ends(26, 11) is 0
Index 16f->Feature of type 3 starts(4, 6) ends(26, 11) is 0
Index 170->Feature of type 0 starts(4, 6) ends(27, 10) is 0
Index 171->Feature of type 1 starts(4, 6) ends(27, 10) is 0
Index 172->Feature of type 2 starts(4, 6) ends(27, 10) is 0
Index 173->Feature of type 3 starts(4, 6) ends(27, 10) is 0
Index 174->Feature of type 0 starts(4, 6) ends(27, 11) is 0
Index 175->Feature of type 1 starts(4, 6) ends(27, 11) is 0
Index 176->Feature of type 2 starts(4, 6) ends(27, 11) is 0
Index 177->Feature of type 3 starts(4, 6) ends(27, 11) is 0
Index 178->Feature of type 0 starts(4, 6) ends(28, 10) is 0
Index 179->Feature of type 1 starts(4, 6) ends(28, 10) is 0
Index 17a->Feature of type 2 starts(4, 6) ends(28, 10) is 0
Index 17b->Feature of type 3 starts(4, 6) ends(28, 10) is 0
Index 17c->Feature of type 0 starts(4, 6) ends(28, 11) is 0
Index 17d->Feature of type 1 starts(4, 6) ends(28, 11) is 0
