[186, 0]
[1438, 8.743796094955796e-05]
[2539, 8.784895019021404e-05]
[2365, 8.796847257142512e-05]
[2377, 8.796847257142512e-05]
[2445, 8.796847257142512e-05]
[2449, 8.796847257142512e-05]
[2461, 8.796847257142512e-05]
[2533, 8.796847257142512e-05]
[2625, 8.796847257142512e-05]
[2639, 8.796847257142512e-05]
[2456, 8.980114908332994e-05]
[2015, 8.995361283389576e-05]
[1818, 9.0870210381941e-05]
[1902, 9.0870210381941e-05]
[1979, 9.0870210381941e-05]
[1518, 9.163382559523449e-05]
[1530, 9.163382559523449e-05]
[2447, 9.163382559523449e-05]
[2485, 9.163382559523449e-05]
[2617, 9.163382559523449e-05]
[2629, 9.163382559523449e-05]
[2637, 9.163382559523449e-05]
[2638, 9.163382559523449e-05]
[2643, 9.163382559523449e-05]
[2551, 9.17967301740705e-05]
[2575, 9.193927168055205e-05]
[2495, 9.295206659502558e-05]
[1439, 9.29520665950256e-05]
[1816, 9.300833297916312e-05]
[2483, 9.491178358400716e-05]
[1414, 9.503431627932811e-05]
[2025, 9.529917861904387e-05]
[2519, 9.529917861904387e-05]
[2569, 9.529917861904387e-05]
[2581, 9.529917861904387e-05]
[2653, 9.529917861904387e-05]
[2665, 9.529917861904387e-05]
[2677, 9.529917861904387e-05]
[2537, 9.565774576267752e-05]
[2491, 9.621551687499633e-05]
[1402, 9.666303090697299e-05]
[2093, 9.725971628294196e-05]
[2105, 9.725971628294196e-05]
[942, 9.728457817360738e-05]
[954, 9.728457817360738e-05]
[2646, 9.728457817360738e-05]
[1900, 9.72845781736074e-05]
[1506, 9.896453164285325e-05]
[1941, 9.896453164285325e-05]
[2351, 9.896453164285325e-05]
[2390, 9.896453164285325e-05]
[2435, 9.896453164285325e-05]
[1999, 9.929232744173056e-05]
[2399, 9.929232744173056e-05]
[1967, 9.956214354890926e-05]
[2395, 0.00010083982853875578]
[2479, 0.00010083982853875578]
[643, 0.00010102629271874612]
[2059, 0.00010102629271874612]
[2081, 0.00010143651391472474]
[2563, 0.00010143651391472474]
[1319, 0.00010172596291824353]
[1773, 0.00010262988466666262]
[1857, 0.00010262988466666262]
[1869, 0.00010262988466666262]
[1953, 0.00010262988466666262]
[2037, 0.00010262988466666262]
[2580, 0.00010262988466666262]
[2595, 0.00010262988466666262]
[2619, 0.00010262988466666262]
[2631, 0.00010262988466666262]
[2652, 0.00010262988466666262]
[2827, 0.00010262988466666262]
[2839, 0.00010262988466666262]
[2851, 0.00010262988466666262]
[2863, 0.00010262988466666262]
[2875, 0.00010262988466666262]
[81, 0.00010317578830850665]
[2453, 0.000103466541335141]
[2467, 0.00010377021671851446]
[1991, 0.00010434038274444038]
[165, 0.00010476800726388487]
[1211, 0.00010476800726388487]
[1295, 0.00010476800726388487]
[2573, 0.0001047680072638849]
[2585, 0.0001047680072638849]
[93, 0.00010541874022825689]
[153, 0.000106295237690472]
[237, 0.000106295237690472]
[1785, 0.000106295237690472]
[2559, 0.000106295237690472]
[2628, 0.000106295237690472]
[1819, 0.00010690612986110704]
[177, 0.0001069971138014143]
[2663, 0.0001069971138014143]
[2675, 0.0001069971138014143]
[2687, 0.0001069971138014143]
[1331, 0.00010716394921794457]
[2369, 0.00010737093912137273]
[664, 0.00010737093912137275]
[1821, 0.00010758785010949663]
[2589, 0.00010776137889999577]
[1221, 0.0001077613788999958]
[1998, 0.0001080534151571774]
[2010, 0.0001080534151571774]
[69, 0.00010850972180902362]
[249, 0.00010850972180902362]
[930, 0.00010850972180902362]
[2489, 0.00010904425245832919]
[1343, 0.00010975695999073645]
[187, 0.00010996059071428137]
[333, 0.00010996059071428137]
[2475, 0.00010996059071428137]
[2511, 0.00010996059071428137]
[2523, 0.00010996059071428137]
[2535, 0.00010996059071428137]
[2493, 0.00011106984228727633]
[1808, 0.00011118237505555132]
[1903, 0.00011118237505555132]
[2371, 0.00011127533690760447]
[2455, 0.00011127533690760447]
[2538, 0.00011127533690760447]
[2061, 0.00011225143635416236]
[1235, 0.00011292068611020332]
[2069, 0.00011293174808964209]
[1300, 0.00011322753580072037]
[2262, 0.00011362594373809075]
[2274, 0.00011362594373809075]
[2286, 0.00011362594373809075]
[2298, 0.00011362594373809075]
[2439, 0.00011362594373809075]
[2547, 0.00011362594373809075]
[2556, 0.00011362594373809075]
[2743, 0.00011362594373809075]
[1904, 0.00011374812217221777]
[2561, 0.00011396690681007309]
[261, 0.00011463976478722961]
[655, 0.00011463976478722961]
[1882, 0.00011517973469383621]
[1966, 0.00011517973469383621]
[2542, 0.00011517973469383621]
[1809, 0.00011545862024999562]
[1893, 0.00011545862024999562]
[2001, 0.000115872450430103]
[345, 0.00011599315089930111]
[2644, 0.00011599315089930111]
[2577, 0.00011674149380832874]
[1905, 0.0001167414938083288]
[2564, 0.00011695033368991799]
[1804, 0.00011713193358695208]
[1881, 0.0001171319335869521]
[1965, 0.0001171319335869521]
[80, 0.0001171873151158347]
[2049, 0.00011729129676190013]
[2250, 0.00011729129676190013]
[2379, 0.00011729129676190013]
[2451, 0.00011729129676190013]
[2463, 0.00011729129676190013]
[2484, 0.00011729129676190013]
[2487, 0.00011729129676190013]
[2755, 0.00011729129676190013]
[2767, 0.00011729129676190013]
[2779, 0.00011729129676190013]
[1996, 0.00011730122996792672]
[1915, 0.00011730122996792675]
[2393, 0.00011814370444185588]
[2477, 0.00011814370444185588]
[1415, 0.00011847890531740027]
[1509, 0.00011866580414582881]
[1521, 0.00011866580414582881]
[1533, 0.00011866580414582881]
[1986, 0.00011866580414582881]
[1798, 0.00011908413248006795]
[1890, 0.00011908413248006795]
[2458, 0.00011908413248006795]
[2057, 0.00011973486544443986]
[2648, 0.00011973486544443986]
[2248, 0.0001209566497857095]
[2391, 0.0001209566497857095]
[2571, 0.0001209566497857095]
[2582, 0.0001209566497857095]
[2599, 0.0001209566497857095]
[1888, 0.00012103633137318381]
[189, 0.00012103633137318384]
[273, 0.00012103633137318384]
[285, 0.00012103633137318384]
[1797, 0.00012103633137318384]
[2000, 0.00012136114545047624]
[2011, 0.00012168177382565015]
[369, 0.0001222824157730449]
[381, 0.0001222824157730449]
[2672, 0.0001222824157730449]
[2684, 0.0001222824157730449]
[1496, 0.00012232050207363867]
[1427, 0.00012288578295613554]
[1806, 0.00012298853026629968]
[1974, 0.00012298853026629968]
[2370, 0.00012298853026629968]
[2454, 0.00012298853026629968]
[2397, 0.00012314195511155805]
[2060, 0.0001234765799895786]
[2003, 0.0001234956379583992]
[1305, 0.00012372602762592108]
[2071, 0.00012381673585731845]
[1892, 0.00012401111063888417]
[525, 0.00012462200280951888]
[537, 0.00012462200280951888]
[549, 0.00012462200280951888]
[561, 0.00012462200280951888]
[573, 0.00012462200280951888]
[2021, 0.00012462200280951888]
[2033, 0.00012462200280951888]
[2178, 0.00012462200280951888]
[2190, 0.00012462200280951888]
[2202, 0.00012462200280951888]
[2343, 0.00012462200280951888]
[2367, 0.00012462200280951888]
[2427, 0.00012462200280951888]
[2632, 0.00012462200280951888]
[2640, 0.00012462200280951888]
[2664, 0.00012462200280951888]
[2676, 0.00012462200280951888]
[263, 0.00012482996610165]
[1987, 0.00012508017193749524]
[2013, 0.00012532520296519033]
[2072, 0.0001259006143294525]
[357, 0.00012610374126595256]
[1388, 0.00012610374126595256]
[1391, 0.00012610374126595256]
[2572, 0.00012614923323610633]
[1497, 0.0001270939850813904]
[2168, 0.00012721829453471735]
[1403, 0.00012769067045735938]
[268, 0.00012828735583332826]
[441, 0.00012828735583332826]
[453, 0.00012828735583332826]
[465, 0.00012828735583332826]
[477, 0.00012828735583332826]
[1283, 0.00012828735583332826]
[1504, 0.00012828735583332826]
[2176, 0.00012828735583332826]
[2188, 0.00012828735583332826]
[2200, 0.00012828735583332826]
[2568, 0.00012828735583332826]
[2655, 0.00012828735583332826]
[2587, 0.00012828735583332845]
[652, 0.00012865129159455766]
[1907, 0.00012871498035277274]
[1972, 0.0001288451269456473]
[1216, 0.00012884512694564732]
[1989, 0.0001299978539111061]
[1820, 0.00013014659287439114]
[2488, 0.00013042547843055061]
[164, 0.0001309600090798561]
[820, 0.0001309600090798561]
[1384, 0.0001309600090798561]
[2267, 0.0001309600090798561]
[2279, 0.0001309600090798561]
[2291, 0.0001309600090798561]
[2303, 0.0001309600090798561]
[2549, 0.00013170835198888375]
[1199, 0.00013195270885713763]
[1676, 0.00013195270885713763]
[2431, 0.00013195270885713763]
[2667, 0.00013195270885713763]
[2679, 0.00013195270885713763]
[1976, 0.00013256360102777273]
[92, 0.000132749524731879]
[1807, 0.000132749524731879]
[1912, 0.00013287649701760994]
[2481, 0.00013433667830351786]
[736, 0.00013470172362499484]
[2183, 0.00013470172362499484]
[2195, 0.00013470172362499484]
[2207, 0.00013470172362499484]
[2374, 0.0001347017236249949]
[2541, 0.0001347017236249949]
[191, 0.00013470172362499492]
[1437, 0.00013548945300291865]
[1288, 0.000135618061880947]
[1379, 0.000135618061880947]
[2347, 0.000135618061880947]
[2355, 0.000135618061880947]
[2460, 0.000135618061880947]
[2472, 0.000135618061880947]
[2611, 0.000135618061880947]
[2623, 0.000135618061880947]
[1891, 0.00013665392251811074]
[1975, 0.00013665392251811074]
[748, 0.00013756771774467552]
[1396, 0.00013756771774467552]
[1977, 0.00013790890752082808]
[2373, 0.00013860612141122663]
[2457, 0.00013860612141122663]
[2565, 0.00013902769260076977]
[1823, 0.00013911224705018258]
[1280, 0.00013928341490475639]
[1367, 0.00013928341490475639]
[1516, 0.00013928341490475639]
[1528, 0.00013928341490475639]
[1604, 0.00013928341490475639]
[1616, 0.00013928341490475639]
[1628, 0.00013928341490475639]
[1780, 0.00013928341490475639]
[1784, 0.00013928341490475639]
[1852, 0.00013928341490475639]
[1937, 0.00013928341490475639]
[1949, 0.00013928341490475639]
[1963, 0.00013928341490475639]
[2023, 0.00013928341490475639]
[2359, 0.00013928341490475639]
[2544, 0.00013928341490475639]
[2381, 0.0001396906763518464]
[2465, 0.0001396906763518464]
[1916, 0.0001409379145335594]
[2476, 0.00014260780485658361]
[2560, 0.00014260780485658361]
[2085, 0.00014261103892366207]
[2097, 0.00014261103892366207]
[2109, 0.00014261103892366207]
[1451, 0.00014294876792856576]
[1463, 0.00014294876792856576]
[1483, 0.00014294876792856576]
[1769, 0.00014294876792856576]
[1853, 0.00014294876792856576]
[1865, 0.00014294876792856576]
[1867, 0.00014294876792856576]
[1939, 0.00014294876792856576]
[2035, 0.00014294876792856576]
[2045, 0.00014294876792856576]
[2047, 0.00014294876792856576]
[2515, 0.00014294876792856576]
[2636, 0.00014294876792856576]
[2830, 0.00014294876792856576]
[2095, 0.0001432044902325526]
[2107, 0.0001432044902325526]
[1307, 0.0001436818385333277]
[370, 0.00014393659356618828]
[382, 0.00014393659356618828]
[1389, 0.00014393659356618828]
[1810, 0.0001443232753124945]
[1894, 0.0001443232753124945]
[1978, 0.0001443232753124945]
[1400, 0.0001443978609844905]
[188, 0.00014446271809057427]
[2492, 0.00014494220553800595]
[1425, 0.000144942205538006]
[1997, 0.00014553140149547767]
[2009, 0.00014553140149547767]
[928, 0.00014592686726041108]
[2265, 0.00014592686726041108]
[2277, 0.00014592686726041108]
[2289, 0.00014592686726041108]
[2301, 0.00014592686726041108]
[184, 0.00014661412095237514]
[632, 0.00014661412095237514]
[727, 0.00014661412095237514]
[808, 0.00014661412095237514]
[1480, 0.00014661412095237514]
[1495, 0.00014661412095237514]
[1781, 0.00014661412095237514]
[1856, 0.00014661412095237514]
[1879, 0.00014661412095237514]
[1951, 0.00014661412095237514]
[1961, 0.00014661412095237514]
[2027, 0.00014661412095237514]
[2036, 0.00014661412095237514]
[2263, 0.00014661412095237514]
[2275, 0.00014661412095237514]
[2287, 0.00014661412095237514]
[2299, 0.00014661412095237514]
[2348, 0.00014661412095237514]
[2443, 0.00014661412095237514]
[2527, 0.00014661412095237514]
[2570, 0.00014661412095237514]
[2758, 0.00014661412095237514]
[2770, 0.00014661412095237514]
[2782, 0.00014661412095237514]
[2392, 0.0001467846024883664]
[2073, 0.00014678460248836644]
[358, 0.0001477579190590959]
[2083, 0.00014797797324030433]
[1964, 0.000148367115876806]
[2008, 0.00014845176406729315]
[812, 0.00014903169422339848]
[2169, 0.00014966858180554983]
[2181, 0.00014966858180554983]
[2193, 0.00014966858180554983]
[2205, 0.00014966858180554983]
[2253, 0.00014966858180554983]
[1460, 0.00015027947397618452]
[1475, 0.00015027947397618452]
[1688, 0.00015027947397618452]
[1690, 0.00015027947397618452]
[1700, 0.00015027947397618452]
[1702, 0.00015027947397618452]
[1712, 0.00015027947397618452]
[1714, 0.00015027947397618452]
[1724, 0.00015027947397618452]
[1726, 0.00015027947397618452]
[1771, 0.00015027947397618452]
[1877, 0.00015027947397618452]
[2039, 0.00015027947397618452]
[2051, 0.00015027947397618452]
[2167, 0.00015027947397618452]
[2251, 0.00015027947397618452]
[2260, 0.00015027947397618452]
[2272, 0.00015027947397618452]
[2284, 0.00015027947397618452]
[2296, 0.00015027947397618452]
[2532, 0.00015027947397618452]
[2583, 0.00015027947397618452]
[2604, 0.00015027947397618452]
[2666, 0.00015027947397618452]
[2678, 0.00015027947397618452]
[2744, 0.00015027947397618452]
[2842, 0.00015027947397618452]
[2854, 0.00015027947397618452]
[2866, 0.00015027947397618452]
[2878, 0.00015027947397618452]
[1988, 0.00015052383084443867]
[2385, 0.00015102920527650929]
[1485, 0.0001515792445520036]
[2550, 0.00015166416289629037]
[2584, 0.000151806704402772]
[1420, 0.00015285301971630614]
[911, 0.00015341029635068857]
[919, 0.00015341029635068857]
[2264, 0.00015341029635068857]
[2276, 0.00015341029635068857]
[2288, 0.00015341029635068857]
[2300, 0.00015341029635068857]
[155, 0.0001539448269999939]
[1448, 0.0001539448269999939]
[1472, 0.0001539448269999939]
[1768, 0.0001539448269999939]
[1772, 0.0001539448269999939]
[1795, 0.0001539448269999939]
[1871, 0.0001539448269999939]
[1955, 0.0001539448269999939]
[1960, 0.0001539448269999939]
[2032, 0.0001539448269999939]
[2352, 0.0001539448269999939]
[2360, 0.0001539448269999939]
[2388, 0.0001539448269999939]
[2635, 0.0001539448269999939]
[667, 0.0001542237125561536]
[2469, 0.0001551110756893879]
[2082, 0.000155138197751932]
[2094, 0.000155138197751932]
[2106, 0.000155138197751932]
[1484, 0.00015540057004491121]
[1341, 0.00015608294959721617]
[284, 0.00015617591144926948]
[356, 0.0001566743452092138]
[932, 0.0001566743452092138]
[2576, 0.00015715201089582716]
[1984, 0.00015715201089582735]
[2494, 0.00015754587558478912]
[152, 0.00015761018002380327]
[436, 0.00015761018002380327]
[439, 0.00015761018002380327]
[1197, 0.00015761018002380327]
[1281, 0.00015761018002380327]
[1519, 0.00015761018002380327]
[1531, 0.00015761018002380327]
[1783, 0.00015761018002380327]
[1793, 0.00015761018002380327]
[1855, 0.00015761018002380327]
[1943, 0.00015761018002380327]
[2020, 0.00015761018002380327]
[2344, 0.00015761018002380327]
[2356, 0.00015761018002380327]
[2364, 0.00015761018002380327]
[2428, 0.00015761018002380327]
[2432, 0.00015761018002380327]
[2436, 0.00015761018002380327]
[2512, 0.00015761018002380327]
[2740, 0.00015761018002380327]
[2826, 0.00015761018002380327]
[1985, 0.00015822107219443842]
[2466, 0.00015964648725925302]
[1228, 0.0001596464872592531]
[1413, 0.00015992558950970635]
[260, 0.00016049567070212145]
[368, 0.00016049567070212145]
