2841->Feature of type 1 starts(8, 9) ends(31, 15) in (x, y) format
2853->Feature of type 1 starts(8, 9) ends(31, 15) in (x, y) format
2865->Feature of type 1 starts(8, 9) ends(31, 15) in (x, y) format
2877->Feature of type 1 starts(8, 9) ends(31, 15) in (x, y) format
862->Feature of type 2 starts(5, 6) ends(31, 12) in (x, y) format
2567->Feature of type 3 starts(5, 9) ends(29, 15) in (x, y) format
1854->Feature of type 2 starts(4, 8) ends(25, 13) in (x, y) format
2345->Feature of type 1 starts(3, 9) ends(25, 14) in (x, y) format
2350->Feature of type 2 starts(3, 9) ends(25, 15) in (x, y) format
2357->Feature of type 1 starts(3, 9) ends(26, 14) in (x, y) format
2441->Feature of type 1 starts(4, 9) ends(26, 14) in (x, y) format
2525->Feature of type 1 starts(5, 9) ends(26, 14) in (x, y) format
2601->Feature of type 1 starts(6, 9) ends(25, 15) in (x, y) format
2742->Feature of type 2 starts(7, 9) ends(30, 14) in (x, y) format
2829->Feature of type 1 starts(8, 9) ends(30, 15) in (x, y) format
1338->Feature of type 2 starts(4, 7) ends(30, 12) in (x, y) format
754->Feature of type 2 starts(4, 6) ends(29, 12) in (x, y) format
1774->Feature of type 2 starts(3, 8) ends(25, 14) in (x, y) format
1866->Feature of type 2 starts(4, 8) ends(26, 13) in (x, y) format
1870->Feature of type 2 starts(4, 8) ends(26, 14) in (x, y) format
1942->Feature of type 2 starts(5, 8) ends(25, 14) in (x, y) format
1950->Feature of type 2 starts(5, 8) ends(26, 13) in (x, y) format
1954->Feature of type 2 starts(5, 8) ends(26, 14) in (x, y) format
2022->Feature of type 2 starts(6, 8) ends(25, 13) in (x, y) format
2026->Feature of type 2 starts(6, 8) ends(25, 14) in (x, y) format
2341->Feature of type 1 starts(3, 9) ends(25, 13) in (x, y) format
2425->Feature of type 1 starts(4, 9) ends(25, 13) in (x, y) format
2621->Feature of type 1 starts(6, 9) ends(27, 14) in (x, y) format
2170->Feature of type 2 starts(7, 8) ends(30, 14) in (x, y) format
1222->Feature of type 2 starts(3, 7) ends(27, 13) in (x, y) format
1306->Feature of type 2 starts(4, 7) ends(27, 13) in (x, y) format
2669->Feature of type 1 starts(6, 9) ends(31, 14) in (x, y) format
2681->Feature of type 1 starts(6, 9) ends(31, 14) in (x, y) format
1198->Feature of type 2 starts(3, 7) ends(25, 13) in (x, y) format
1474->Feature of type 2 starts(6, 7) ends(27, 13) in (x, y) format
1770->Feature of type 2 starts(3, 8) ends(25, 13) in (x, y) format
1938->Feature of type 2 starts(5, 8) ends(25, 13) in (x, y) format
2034->Feature of type 2 starts(6, 8) ends(26, 13) in (x, y) format
2038->Feature of type 2 starts(6, 8) ends(26, 14) in (x, y) format
2426->Feature of type 2 starts(4, 9) ends(25, 13) in (x, y) format
2434->Feature of type 2 starts(4, 9) ends(25, 15) in (x, y) format
2594->Feature of type 2 starts(6, 9) ends(25, 13) in (x, y) format
2598->Feature of type 2 starts(6, 9) ends(25, 14) in (x, y) format
2602->Feature of type 2 starts(6, 9) ends(25, 15) in (x, y) format
2633->Feature of type 1 starts(6, 9) ends(28, 14) in (x, y) format
1246->Feature of type 2 starts(3, 7) ends(29, 13) in (x, y) format
71->Feature of type 3 starts(3, 5) ends(27, 11) in (x, y) format
2645->Feature of type 1 starts(6, 9) ends(29, 14) in (x, y) format
