Index 169->Feature of type 1 starts(4, 5) ends(29, 9) in (x, y) format
Index 170->Feature of type 2 starts(4, 5) ends(29, 9) in (x, y) format
Index 171->Feature of type 3 starts(4, 5) ends(29, 9) in (x, y) format
Index 172->Feature of type 0 starts(4, 5) ends(29, 10) in (x, y) format
Index 173->Feature of type 1 starts(4, 5) ends(29, 10) in (x, y) format
Index 174->Feature of type 2 starts(4, 5) ends(29, 10) in (x, y) format
Index 175->Feature of type 3 starts(4, 5) ends(29, 10) in (x, y) format
Index 176->Feature of type 0 starts(4, 5) ends(29, 11) in (x, y) format
Index 177->Feature of type 1 starts(4, 5) ends(29, 11) in (x, y) format
Index 178->Feature of type 2 starts(4, 5) ends(29, 11) in (x, y) format
Index 179->Feature of type 3 starts(4, 5) ends(29, 11) in (x, y) format
Index 180->Feature of type 0 starts(4, 5) ends(30, 9) in (x, y) format
Index 181->Feature of type 1 starts(4, 5) ends(30, 9) in (x, y) format
Index 182->Feature of type 2 starts(4, 5) ends(30, 9) in (x, y) format
Index 183->Feature of type 3 starts(4, 5) ends(30, 9) in (x, y) format
Index 184->Feature of type 0 starts(4, 5) ends(30, 10) in (x, y) format
Index 185->Feature of type 1 starts(4, 5) ends(30, 10) in (x, y) format
Index 186->Feature of type 2 starts(4, 5) ends(30, 10) in (x, y) format
Index 187->Feature of type 3 starts(4, 5) ends(30, 10) in (x, y) format
Index 188->Feature of type 0 starts(4, 5) ends(30, 11) in (x, y) format
Index 189->Feature of type 1 starts(4, 5) ends(30, 11) in (x, y) format
Index 190->Feature of type 2 starts(4, 5) ends(30, 11) in (x, y) format
Index 191->Feature of type 3 starts(4, 5) ends(30, 11) in (x, y) format
Index 192->Feature of type 0 starts(5, 5) ends(24, 9) in (x, y) format
Index 193->Feature of type 1 starts(5, 5) ends(24, 9) in (x, y) format
Index 194->Feature of type 2 starts(5, 5) ends(24, 9) in (x, y) format
Index 195->Feature of type 3 starts(5, 5) ends(24, 9) in (x, y) format
Index 196->Feature of type 0 starts(5, 5) ends(24, 10) in (x, y) format
Index 197->Feature of type 1 starts(5, 5) ends(24, 10) in (x, y) format
Index 198->Feature of type 2 starts(5, 5) ends(24, 10) in (x, y) format
Index 199->Feature of type 3 starts(5, 5) ends(24, 10) in (x, y) format
Index 200->Feature of type 0 starts(5, 5) ends(24, 11) in (x, y) format
Index 201->Feature of type 1 starts(5, 5) ends(24, 11) in (x, y) format
Index 202->Feature of type 2 starts(5, 5) ends(24, 11) in (x, y) format
Index 203->Feature of type 3 starts(5, 5) ends(24, 11) in (x, y) format
Index 204->Feature of type 0 starts(5, 5) ends(25, 9) in (x, y) format
Index 205->Feature of type 1 starts(5, 5) ends(25, 9) in (x, y) format
Index 206->Feature of type 2 starts(5, 5) ends(25, 9) in (x, y) format
Index 207->Feature of type 3 starts(5, 5) ends(25, 9) in (x, y) format
Index 208->Feature of type 0 starts(5, 5) ends(25, 10) in (x, y) format
Index 209->Feature of type 1 starts(5, 5) ends(25, 10) in (x, y) format
Index 210->Feature of type 2 starts(5, 5) ends(25, 10) in (x, y) format
Index 211->Feature of type 3 starts(5, 5) ends(25, 10) in (x, y) format
Index 212->Feature of type 0 starts(5, 5) ends(25, 11) in (x, y) format
