4509->Feature of type 1 starts(2, 11) ends(27, 17) in (x, y) format
4797->Feature of type 1 starts(5, 11) ends(27, 17) in (x, y) format
4917->Feature of type 1 starts(6, 11) ends(29, 17) in (x, y) format
4927->Feature of type 3 starts(6, 11) ends(30, 16) in (x, y) format
4929->Feature of type 1 starts(6, 11) ends(30, 17) in (x, y) format
4941->Feature of type 1 starts(6, 11) ends(31, 17) in (x, y) format
4953->Feature of type 1 starts(6, 11) ends(31, 17) in (x, y) format
4965->Feature of type 1 starts(6, 11) ends(31, 17) in (x, y) format
1354->Feature of type 2 starts(5, 7) ends(28, 13) in (x, y) format
1342->Feature of type 2 starts(5, 7) ends(27, 13) in (x, y) format
4732->Feature of type 0 starts(4, 11) ends(30, 16) in (x, y) format
4744->Feature of type 0 starts(4, 11) ends(31, 16) in (x, y) format
4816->Feature of type 0 starts(5, 11) ends(29, 16) in (x, y) format
4821->Feature of type 1 starts(5, 11) ends(29, 17) in (x, y) format
4833->Feature of type 1 starts(5, 11) ends(30, 17) in (x, y) format
3669->Feature of type 1 starts(2, 10) ends(29, 16) in (x, y) format
3957->Feature of type 1 starts(5, 10) ends(29, 16) in (x, y) format
1282->Feature of type 2 starts(4, 7) ends(30, 13) in (x, y) format
934->Feature of type 2 starts(1, 7) ends(25, 13) in (x, y) format
1438->Feature of type 2 starts(6, 7) ends(27, 13) in (x, y) format
1794->Feature of type 2 starts(1, 8) ends(25, 13) in (x, y) format
1810->Feature of type 2 starts(1, 8) ends(26, 14) in (x, y) format
2002->Feature of type 2 starts(3, 8) ends(26, 14) in (x, y) format
2657->Feature of type 1 starts(1, 9) ends(25, 14) in (x, y) format
2669->Feature of type 1 starts(1, 9) ends(26, 14) in (x, y) format
2753->Feature of type 1 starts(2, 9) ends(25, 14) in (x, y) format
2765->Feature of type 1 starts(2, 9) ends(26, 14) in (x, y) format
2766->Feature of type 2 starts(2, 9) ends(26, 14) in (x, y) format
2849->Feature of type 1 starts(3, 9) ends(25, 14) in (x, y) format
2850->Feature of type 2 starts(3, 9) ends(25, 14) in (x, y) format
2861->Feature of type 1 starts(3, 9) ends(26, 14) in (x, y) format
2954->Feature of type 2 starts(4, 9) ends(26, 13) in (x, y) format
