Index 311->Feature of type 3 starts(3, 6) ends(29, 12) in (x, y) format
Index 312->Feature of type 0 starts(3, 6) ends(30, 10) in (x, y) format
Index 313->Feature of type 1 starts(3, 6) ends(30, 10) in (x, y) format
Index 314->Feature of type 2 starts(3, 6) ends(30, 10) in (x, y) format
Index 315->Feature of type 3 starts(3, 6) ends(30, 10) in (x, y) format
Index 316->Feature of type 0 starts(3, 6) ends(30, 11) in (x, y) format
Index 317->Feature of type 1 starts(3, 6) ends(30, 11) in (x, y) format
Index 318->Feature of type 2 starts(3, 6) ends(30, 11) in (x, y) format
Index 319->Feature of type 3 starts(3, 6) ends(30, 11) in (x, y) format
Index 320->Feature of type 0 starts(3, 6) ends(30, 12) in (x, y) format
Index 321->Feature of type 1 starts(3, 6) ends(30, 12) in (x, y) format
Index 322->Feature of type 2 starts(3, 6) ends(30, 12) in (x, y) format
Index 323->Feature of type 3 starts(3, 6) ends(30, 12) in (x, y) format
Index 324->Feature of type 0 starts(4, 6) ends(23, 10) in (x, y) format
Index 325->Feature of type 1 starts(4, 6) ends(23, 10) in (x, y) format
Index 326->Feature of type 2 starts(4, 6) ends(23, 10) in (x, y) format
Index 327->Feature of type 3 starts(4, 6) ends(23, 10) in (x, y) format
Index 328->Feature of type 0 starts(4, 6) ends(23, 11) in (x, y) format
Index 329->Feature of type 1 starts(4, 6) ends(23, 11) in (x, y) format
Index 330->Feature of type 2 starts(4, 6) ends(23, 11) in (x, y) format
Index 331->Feature of type 3 starts(4, 6) ends(23, 11) in (x, y) format
Index 332->Feature of type 0 starts(4, 6) ends(23, 12) in (x, y) format
Index 333->Feature of type 1 starts(4, 6) ends(23, 12) in (x, y) format
Index 334->Feature of type 2 starts(4, 6) ends(23, 12) in (x, y) format
Index 335->Feature of type 3 starts(4, 6) ends(23, 12) in (x, y) format
Index 336->Feature of type 0 starts(4, 6) ends(24, 10) in (x, y) format
Index 337->Feature of type 1 starts(4, 6) ends(24, 10) in (x, y) format
Index 338->Feature of type 2 starts(4, 6) ends(24, 10) in (x, y) format
