[641, <Feature of type 1 starts(4, 6) ends(28, 11) is 1>]
[642, <Feature of type 2 starts(4, 6) ends(28, 11) is 1>]
[643, <Feature of type 3 starts(4, 6) ends(28, 11) is 1>]
[644, <Feature of type 0 starts(4, 6) ends(28, 12) is 1>]
[645, <Feature of type 1 starts(4, 6) ends(28, 12) is 1>]
[646, <Feature of type 2 starts(4, 6) ends(28, 12) is 1>]
[647, <Feature of type 3 starts(4, 6) ends(28, 12) is 1>]
[652, <Feature of type 0 starts(4, 6) ends(29, 11) is 1>]
[653, <Feature of type 1 starts(4, 6) ends(29, 11) is 1>]
[654, <Feature of type 2 starts(4, 6) ends(29, 11) is 1>]
[655, <Feature of type 3 starts(4, 6) ends(29, 11) is 1>]
[656, <Feature of type 0 starts(4, 6) ends(29, 12) is 1>]
[657, <Feature of type 1 starts(4, 6) ends(29, 12) is 1>]
[658, <Feature of type 2 starts(4, 6) ends(29, 12) is 1>]
[659, <Feature of type 3 starts(4, 6) ends(29, 12) is 1>]
[664, <Feature of type 0 starts(4, 6) ends(30, 11) is 1>]
[665, <Feature of type 1 starts(4, 6) ends(30, 11) is 1>]
[666, <Feature of type 2 starts(4, 6) ends(30, 11) is 1>]
[667, <Feature of type 3 starts(4, 6) ends(30, 11) is 1>]
[668, <Feature of type 0 starts(4, 6) ends(30, 12) is 1>]
[669, <Feature of type 1 starts(4, 6) ends(30, 12) is 1>]
[670, <Feature of type 2 starts(4, 6) ends(30, 12) is 1>]
[671, <Feature of type 3 starts(4, 6) ends(30, 12) is 1>]
[704, <Feature of type 0 starts(4, 7) ends(25, 13) is 0>]
[705, <Feature of type 1 starts(4, 7) ends(25, 13) is 0>]
[706, <Feature of type 2 starts(4, 7) ends(25, 13) is 0>]
[707, <Feature of type 3 starts(4, 7) ends(25, 13) is 0>]
[712, <Feature of type 0 starts(4, 7) ends(26, 12) is 0>]
[713, <Feature of type 1 starts(4, 7) ends(26, 12) is 0>]
[714, <Feature of type 2 starts(4, 7) ends(26, 12) is 0>]
[715, <Feature of type 3 starts(4, 7) ends(26, 12) is 0>]
[716, <Feature of type 0 starts(4, 7) ends(26, 13) is 0>]
[717, <Feature of type 1 starts(4, 7) ends(26, 13) is 0>]
[718, <Feature of type 2 starts(4, 7) ends(26, 13) is 0>]
[719, <Feature of type 3 starts(4, 7) ends(26, 13) is 0>]
[724, <Feature of type 0 starts(4, 7) ends(27, 12) is 0>]
[725, <Feature of type 1 starts(4, 7) ends(27, 12) is 0>]
[726, <Feature of type 2 starts(4, 7) ends(27, 12) is 0>]
[727, <Feature of type 3 starts(4, 7) ends(27, 12) is 0>]
[728, <Feature of type 0 starts(4, 7) ends(27, 13) is 0>]
[729, <Feature of type 1 starts(4, 7) ends(27, 13) is 0>]
[730, <Feature of type 2 starts(4, 7) ends(27, 13) is 0>]
[731, <Feature of type 3 starts(4, 7) ends(27, 13) is 0>]
[736, <Feature of type 0 starts(4, 7) ends(28, 12) is 0>]
[737, <Feature of type 1 starts(4, 7) ends(28, 12) is 0>]
[738, <Feature of type 2 starts(4, 7) ends(28, 12) is 0>]
[739, <Feature of type 3 starts(4, 7) ends(28, 12) is 0>]
[740, <Feature of type 0 starts(4, 7) ends(28, 13) is 0>]
[741, <Feature of type 1 starts(4, 7) ends(28, 13) is 0>]
[742, <Feature of type 2 starts(4, 7) ends(28, 13) is 0>]
[743, <Feature of type 3 starts(4, 7) ends(28, 13) is 0>]
[748, <Feature of type 0 starts(4, 7) ends(29, 12) is 0>]
[749, <Feature of type 1 starts(4, 7) ends(29, 12) is 0>]
[750, <Feature of type 2 starts(4, 7) ends(29, 12) is 0>]
[751, <Feature of type 3 starts(4, 7) ends(29, 12) is 0>]
[752, <Feature of type 0 starts(4, 7) ends(29, 13) is 0>]
[753, <Feature of type 1 starts(4, 7) ends(29, 13) is 0>]
[754, <Feature of type 2 starts(4, 7) ends(29, 13) is 0>]
[755, <Feature of type 3 starts(4, 7) ends(29, 13) is 0>]
[760, <Feature of type 0 starts(4, 7) ends(30, 12) is 0>]
[761, <Feature of type 1 starts(4, 7) ends(30, 12) is 0>]
[762, <Feature of type 2 starts(4, 7) ends(30, 12) is 0>]
[763, <Feature of type 3 starts(4, 7) ends(30, 12) is 0>]
[764, <Feature of type 0 starts(4, 7) ends(30, 13) is 0>]
[765, <Feature of type 1 starts(4, 7) ends(30, 13) is 0>]
[766, <Feature of type 2 starts(4, 7) ends(30, 13) is 0>]
[767, <Feature of type 3 starts(4, 7) ends(30, 13) is 0>]
[796, <Feature of type 0 starts(4, 8) ends(25, 13) is 0>]
[797, <Feature of type 1 starts(4, 8) ends(25, 13) is 0>]
[798, <Feature of type 2 starts(4, 8) ends(25, 13) is 0>]
[799, <Feature of type 3 starts(4, 8) ends(25, 13) is 0>]
[800, <Feature of type 0 starts(4, 8) ends(25, 14) is 0>]
[801, <Feature of type 1 starts(4, 8) ends(25, 14) is 0>]
[802, <Feature of type 2 starts(4, 8) ends(25, 14) is 0>]
[803, <Feature of type 3 starts(4, 8) ends(25, 14) is 0>]
[808, <Feature of type 0 starts(4, 8) ends(26, 13) is 0>]
[809, <Feature of type 1 starts(4, 8) ends(26, 13) is 0>]
[810, <Feature of type 2 starts(4, 8) ends(26, 13) is 0>]
[811, <Feature of type 3 starts(4, 8) ends(26, 13) is 0>]
[812, <Feature of type 0 starts(4, 8) ends(26, 14) is 0>]
[813, <Feature of type 1 starts(4, 8) ends(26, 14) is 0>]
[814, <Feature of type 2 starts(4, 8) ends(26, 14) is 0>]
[815, <Feature of type 3 starts(4, 8) ends(26, 14) is 0>]
[820, <Feature of type 0 starts(4, 8) ends(27, 13) is 0>]
[821, <Feature of type 1 starts(4, 8) ends(27, 13) is 0>]
[822, <Feature of type 2 starts(4, 8) ends(27, 13) is 0>]
[823, <Feature of type 3 starts(4, 8) ends(27, 13) is 0>]
[824, <Feature of type 0 starts(4, 8) ends(27, 14) is 0>]
[825, <Feature of type 1 starts(4, 8) ends(27, 14) is 0>]
[826, <Feature of type 2 starts(4, 8) ends(27, 14) is 0>]
[827, <Feature of type 3 starts(4, 8) ends(27, 14) is 0>]
[832, <Feature of type 0 starts(4, 8) ends(28, 13) is 0>]
[833, <Feature of type 1 starts(4, 8) ends(28, 13) is 0>]
[834, <Feature of type 2 starts(4, 8) ends(28, 13) is 0>]
[835, <Feature of type 3 starts(4, 8) ends(28, 13) is 0>]
[836, <Feature of type 0 starts(4, 8) ends(28, 14) is 0>]
[837, <Feature of type 1 starts(4, 8) ends(28, 14) is 0>]
[838, <Feature of type 2 starts(4, 8) ends(28, 14) is 0>]
[839, <Feature of type 3 starts(4, 8) ends(28, 14) is 0>]
[844, <Feature of type 0 starts(4, 8) ends(29, 13) is 0>]
[845, <Feature of type 1 starts(4, 8) ends(29, 13) is 0>]
[846, <Feature of type 2 starts(4, 8) ends(29, 13) is 0>]
[847, <Feature of type 3 starts(4, 8) ends(29, 13) is 0>]
[848, <Feature of type 0 starts(4, 8) ends(29, 14) is 0>]
[849, <Feature of type 1 starts(4, 8) ends(29, 14) is 0>]
[850, <Feature of type 2 starts(4, 8) ends(29, 14) is 0>]
[851, <Feature of type 3 starts(4, 8) ends(29, 14) is 0>]
[856, <Feature of type 0 starts(4, 8) ends(30, 13) is 0>]
[857, <Feature of type 1 starts(4, 8) ends(30, 13) is 0>]
[858, <Feature of type 2 starts(4, 8) ends(30, 13) is 0>]
[859, <Feature of type 3 starts(4, 8) ends(30, 13) is 0>]
[860, <Feature of type 0 starts(4, 8) ends(30, 14) is 0>]
[861, <Feature of type 1 starts(4, 8) ends(30, 14) is 0>]
[862, <Feature of type 2 starts(4, 8) ends(30, 14) is 0>]
[863, <Feature of type 3 starts(4, 8) ends(30, 14) is 0>]
[888, <Feature of type 0 starts(4, 9) ends(25, 13) is 0>]
[889, <Feature of type 1 starts(4, 9) ends(25, 13) is 0>]
[890, <Feature of type 2 starts(4, 9) ends(25, 13) is 0>]
[891, <Feature of type 3 starts(4, 9) ends(25, 13) is 0>]
[892, <Feature of type 0 starts(4, 9) ends(25, 14) is 0>]
[893, <Feature of type 1 starts(4, 9) ends(25, 14) is 0>]
[894, <Feature of type 2 starts(4, 9) ends(25, 14) is 0>]
[895, <Feature of type 3 starts(4, 9) ends(25, 14) is 0>]
[896, <Feature of type 0 starts(4, 9) ends(25, 15) is 0>]
[897, <Feature of type 1 starts(4, 9) ends(25, 15) is 0>]
[898, <Feature of type 2 starts(4, 9) ends(25, 15) is 0>]
[899, <Feature of type 3 starts(4, 9) ends(25, 15) is 0>]
[900, <Feature of type 0 starts(4, 9) ends(26, 13) is 0>]
[901, <Feature of type 1 starts(4, 9) ends(26, 13) is 0>]
[902, <Feature of type 2 starts(4, 9) ends(26, 13) is 0>]
[903, <Feature of type 3 starts(4, 9) ends(26, 13) is 0>]
[904, <Feature of type 0 starts(4, 9) ends(26, 14) is 0>]
[905, <Feature of type 1 starts(4, 9) ends(26, 14) is 0>]
[906, <Feature of type 2 starts(4, 9) ends(26, 14) is 0>]
[907, <Feature of type 3 starts(4, 9) ends(26, 14) is 0>]
[908, <Feature of type 0 starts(4, 9) ends(26, 15) is 0>]
[909, <Feature of type 1 starts(4, 9) ends(26, 15) is 0>]
[910, <Feature of type 2 starts(4, 9) ends(26, 15) is 0>]
[911, <Feature of type 3 starts(4, 9) ends(26, 15) is 0>]
[912, <Feature of type 0 starts(4, 9) ends(27, 13) is 0>]
[913, <Feature of type 1 starts(4, 9) ends(27, 13) is 0>]
[914, <Feature of type 2 starts(4, 9) ends(27, 13) is 0>]
[915, <Feature of type 3 starts(4, 9) ends(27, 13) is 0>]
[916, <Feature of type 0 starts(4, 9) ends(27, 14) is 0>]
[917, <Feature of type 1 starts(4, 9) ends(27, 14) is 0>]
[918, <Feature of type 2 starts(4, 9) ends(27, 14) is 0>]
[919, <Feature of type 3 starts(4, 9) ends(27, 14) is 0>]
[920, <Feature of type 0 starts(4, 9) ends(27, 15) is 0>]
[921, <Feature of type 1 starts(4, 9) ends(27, 15) is 0>]
[922, <Feature of type 2 starts(4, 9) ends(27, 15) is 0>]
[923, <Feature of type 3 starts(4, 9) ends(27, 15) is 0>]
[924, <Feature of type 0 starts(4, 9) ends(28, 13) is 0>]
[925, <Feature of type 1 starts(4, 9) ends(28, 13) is 0>]
[926, <Feature of type 2 starts(4, 9) ends(28, 13) is 0>]
[927, <Feature of type 3 starts(4, 9) ends(28, 13) is 0>]
[928, <Feature of type 0 starts(4, 9) ends(28, 14) is 0>]
[929, <Feature of type 1 starts(4, 9) ends(28, 14) is 0>]
[930, <Feature of type 2 starts(4, 9) ends(28, 14) is 0>]
[931, <Feature of type 3 starts(4, 9) ends(28, 14) is 0>]
[932, <Feature of type 0 starts(4, 9) ends(28, 15) is 0>]
[933, <Feature of type 1 starts(4, 9) ends(28, 15) is 0>]
[934, <Feature of type 2 starts(4, 9) ends(28, 15) is 0>]
[935, <Feature of type 3 starts(4, 9) ends(28, 15) is 0>]
[936, <Feature of type 0 starts(4, 9) ends(29, 13) is 0>]
[937, <Feature of type 1 starts(4, 9) ends(29, 13) is 0>]
[938, <Feature of type 2 starts(4, 9) ends(29, 13) is 0>]
[939, <Feature of type 3 starts(4, 9) ends(29, 13) is 0>]
[940, <Feature of type 0 starts(4, 9) ends(29, 14) is 0>]
[941, <Feature of type 1 starts(4, 9) ends(29, 14) is 0>]
[942, <Feature of type 2 starts(4, 9) ends(29, 14) is 0>]
[943, <Feature of type 3 starts(4, 9) ends(29, 14) is 0>]
[944, <Feature of type 0 starts(4, 9) ends(29, 15) is 0>]
[945, <Feature of type 1 starts(4, 9) ends(29, 15) is 0>]
[946, <Feature of type 2 starts(4, 9) ends(29, 15) is 0>]
[947, <Feature of type 3 starts(4, 9) ends(29, 15) is 0>]
[948, <Feature of type 0 starts(4, 9) ends(30, 13) is 0>]
[949, <Feature of type 1 starts(4, 9) ends(30, 13) is 0>]
[950, <Feature of type 2 starts(4, 9) ends(30, 13) is 0>]
[951, <Feature of type 3 starts(4, 9) ends(30, 13) is 0>]
[952, <Feature of type 0 starts(4, 9) ends(30, 14) is 0>]
[953, <Feature of type 1 starts(4, 9) ends(30, 14) is 0>]
[954, <Feature of type 2 starts(4, 9) ends(30, 14) is 0>]
[955, <Feature of type 3 starts(4, 9) ends(30, 14) is 0>]
[956, <Feature of type 0 starts(4, 9) ends(30, 15) is 0>]
[957, <Feature of type 1 starts(4, 9) ends(30, 15) is 0>]
[958, <Feature of type 2 starts(4, 9) ends(30, 15) is 0>]
[959, <Feature of type 3 starts(4, 9) ends(30, 15) is 0>]
[1004, <Feature of type 0 starts(5, 5) ends(27, 11) is 0>]
[1005, <Feature of type 1 starts(5, 5) ends(27, 11) is 0>]
[1006, <Feature of type 2 starts(5, 5) ends(27, 11) is 0>]
[1007, <Feature of type 3 starts(5, 5) ends(27, 11) is 0>]
[1016, <Feature of type 0 starts(5, 5) ends(28, 11) is 1>]
[1017, <Feature of type 1 starts(5, 5) ends(28, 11) is 1>]
[1018, <Feature of type 2 starts(5, 5) ends(28, 11) is 1>]
[1019, <Feature of type 3 starts(5, 5) ends(28, 11) is 1>]
[1028, <Feature of type 0 starts(5, 5) ends(29, 11) is 1>]
[1029, <Feature of type 1 starts(5, 5) ends(29, 11) is 1>]
[1030, <Feature of type 2 starts(5, 5) ends(29, 11) is 1>]
[1031, <Feature of type 3 starts(5, 5) ends(29, 11) is 1>]
[1036, <Feature of type 0 starts(5, 5) ends(30, 10) is 0>]
[1037, <Feature of type 1 starts(5, 5) ends(30, 10) is 0>]
[1038, <Feature of type 2 starts(5, 5) ends(30, 10) is 0>]
