Index 263->Feature of type 3 starts(3, 7) ends(27, 13) is 0
Index 264->Feature of type 0 starts(3, 7) ends(28, 11) is 0
Index 265->Feature of type 1 starts(3, 7) ends(28, 11) is 0
Index 266->Feature of type 2 starts(3, 7) ends(28, 11) is 0
Index 267->Feature of type 3 starts(3, 7) ends(28, 11) is 0
Index 268->Feature of type 0 starts(3, 7) ends(28, 12) is 0
Index 269->Feature of type 1 starts(3, 7) ends(28, 12) is 0
Index 270->Feature of type 2 starts(3, 7) ends(28, 12) is 0
Index 271->Feature of type 3 starts(3, 7) ends(28, 12) is 0
Index 272->Feature of type 0 starts(3, 7) ends(28, 13) is 0
Index 273->Feature of type 1 starts(3, 7) ends(28, 13) is 0
Index 274->Feature of type 2 starts(3, 7) ends(28, 13) is 0
Index 275->Feature of type 3 starts(3, 7) ends(28, 13) is 0
Index 276->Feature of type 0 starts(3, 7) ends(29, 11) is 0
Index 277->Feature of type 1 starts(3, 7) ends(29, 11) is 0
Index 278->Feature of type 2 starts(3, 7) ends(29, 11) is 0
Index 279->Feature of type 3 starts(3, 7) ends(29, 11) is 0
Index 280->Feature of type 0 starts(3, 7) ends(29, 12) is 0
Index 281->Feature of type 1 starts(3, 7) ends(29, 12) is 0
Index 282->Feature of type 2 starts(3, 7) ends(29, 12) is 0
Index 283->Feature of type 3 starts(3, 7) ends(29, 12) is 0
Index 284->Feature of type 0 starts(3, 7) ends(29, 13) is 0
Index 285->Feature of type 1 starts(3, 7) ends(29, 13) is 0
Index 286->Feature of type 2 starts(3, 7) ends(29, 13) is 0
Index 287->Feature of type 3 starts(3, 7) ends(29, 13) is 0
Index 288->Feature of type 0 starts(3, 8) ends(22, 12) is 0
Index 289->Feature of type 1 starts(3, 8) ends(22, 12) is 0
Index 290->Feature of type 2 starts(3, 8) ends(22, 12) is 0
Index 291->Feature of type 3 starts(3, 8) ends(22, 12) is 0
Index 292->Feature of type 0 starts(3, 8) ends(22, 13) is 0
Index 293->Feature of type 1 starts(3, 8) ends(22, 13) is 0
Index 294->Feature of type 2 starts(3, 8) ends(22, 13) is 0
Index 295->Feature of type 3 starts(3, 8) ends(22, 13) is 0
Index 296->Feature of type 0 starts(3, 8) ends(22, 14) is 0
Index 297->Feature of type 1 starts(3, 8) ends(22, 14) is 0
Index 298->Feature of type 2 starts(3, 8) ends(22, 14) is 0
Index 299->Feature of type 3 starts(3, 8) ends(22, 14) is 0
Index 300->Feature of type 0 starts(3, 8) ends(23, 12) is 0
Index 301->Feature of type 1 starts(3, 8) ends(23, 12) is 0
Index 302->Feature of type 2 starts(3, 8) ends(23, 12) is 0
Index 303->Feature of type 3 starts(3, 8) ends(23, 12) is 0
Index 304->Feature of type 0 starts(3, 8) ends(23, 13) is 0
Index 305->Feature of type 1 starts(3, 8) ends(23, 13) is 0
Index 306->Feature of type 2 starts(3, 8) ends(23, 13) is 0
Index 307->Feature of type 3 starts(3, 8) ends(23, 13) is 0
Index 308->Feature of type 0 starts(3, 8) ends(23, 14) is 0
Index 309->Feature of type 1 starts(3, 8) ends(23, 14) is 0
Index 310->Feature of type 2 starts(3, 8) ends(23, 14) is 0
Index 311->Feature of type 3 starts(3, 8) ends(23, 14) is 0
Index 312->Feature of type 0 starts(3, 8) ends(24, 12) is 0
Index 313->Feature of type 1 starts(3, 8) ends(24, 12) is 0
Index 314->Feature of type 2 starts(3, 8) ends(24, 12) is 0
Index 315->Feature of type 3 starts(3, 8) ends(24, 12) is 0
Index 316->Feature of type 0 starts(3, 8) ends(24, 13) is 0
Index 317->Feature of type 1 starts(3, 8) ends(24, 13) is 0
Index 318->Feature of type 2 starts(3, 8) ends(24, 13) is 0
Index 319->Feature of type 3 starts(3, 8) ends(24, 13) is 0
Index 320->Feature of type 0 starts(3, 8) ends(24, 14) is 0
Index 321->Feature of type 1 starts(3, 8) ends(24, 14) is 0
Index 322->Feature of type 2 starts(3, 8) ends(24, 14) is 0
Index 323->Feature of type 3 starts(3, 8) ends(24, 14) is 0
Index 324->Feature of type 0 starts(3, 8) ends(25, 12) is 0
Index 325->Feature of type 1 starts(3, 8) ends(25, 12) is 0
Index 326->Feature of type 2 starts(3, 8) ends(25, 12) is 0
Index 327->Feature of type 3 starts(3, 8) ends(25, 12) is 0
Index 328->Feature of type 0 starts(3, 8) ends(25, 13) is 0
Index 329->Feature of type 1 starts(3, 8) ends(25, 13) is 0
Index 330->Feature of type 2 starts(3, 8) ends(25, 13) is 0
Index 331->Feature of type 3 starts(3, 8) ends(25, 13) is 0
Index 332->Feature of type 0 starts(3, 8) ends(25, 14) is 0
Index 333->Feature of type 1 starts(3, 8) ends(25, 14) is 0
Index 334->Feature of type 2 starts(3, 8) ends(25, 14) is 0
Index 335->Feature of type 3 starts(3, 8) ends(25, 14) is 0
Index 336->Feature of type 0 starts(3, 8) ends(26, 12) is 0
Index 337->Feature of type 1 starts(3, 8) ends(26, 12) is 0
Index 338->Feature of type 2 starts(3, 8) ends(26, 12) is 0
Index 339->Feature of type 3 starts(3, 8) ends(26, 12) is 0
Index 340->Feature of type 0 starts(3, 8) ends(26, 13) is 0
Index 341->Feature of type 1 starts(3, 8) ends(26, 13) is 0
Index 342->Feature of type 2 starts(3, 8) ends(26, 13) is 0
Index 343->Feature of type 3 starts(3, 8) ends(26, 13) is 0
Index 344->Feature of type 0 starts(3, 8) ends(26, 14) is 0
Index 345->Feature of type 1 starts(3, 8) ends(26, 14) is 0
Index 346->Feature of type 2 starts(3, 8) ends(26, 14) is 0
Index 347->Feature of type 3 starts(3, 8) ends(26, 14) is 0
Index 348->Feature of type 0 starts(3, 8) ends(27, 12) is 0
Index 349->Feature of type 1 starts(3, 8) ends(27, 12) is 0
Index 350->Feature of type 2 starts(3, 8) ends(27, 12) is 0
Index 351->Feature of type 3 starts(3, 8) ends(27, 12) is 0
Index 352->Feature of type 0 starts(3, 8) ends(27, 13) is 0
